game,gameLabel,releaseDate,platformLabel,periodLabel
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Microsoft Windows,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,PlayStation 3,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Xbox 360,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Nintendo Wii U,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Java Micro Edition,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,PlayStation 4,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Xbox One,2012
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,2012-10-30,Nintendo Switch,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,Microsoft Windows,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,Wii,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,PlayStation 2,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,PlayStation 3,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,Xbox 360,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,iOS,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,Nintendo DS,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,PlayStation Portable,2012
http://www.wikidata.org/entity/Q137924,FIFA 12,2011-09-30,PlayStation Vita,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13,Xbox 360,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-16,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-16,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-16,Xbox 360,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-21,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-21,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-21,Xbox 360,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-08,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-08,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-08,Xbox 360,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-10,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-10,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-10,Xbox 360,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-11,Microsoft Windows,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-11,PlayStation 3,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2008-04-11,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-17,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-19,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2009-11-20,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-04,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-05,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,Xbox 360,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,PlayStation 4,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-03-09,Xbox One,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-10-01,Microsoft Windows,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-10-01,PlayStation 3,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-10-01,macOS,2012
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,2010-10-01,Xbox 360,2012
